@relation bach_choral_harmony
@attribute eventNumber numeric
@attribute pitch3 {' NO','YES'}
@attribute pitch4 {' NO','YES'}
@attribute pitch5 {' NO','YES'}
@attribute pitch6 {' NO','YES'}
@attribute pitch7 {' NO','YES'}
@attribute pitch8 {' NO','YES'}
@attribute pitch9 {' NO','YES'}
@attribute pitch10 {' NO','YES'}
@attribute pitch11 {' NO','YES'}
@attribute pitch12 {' NO','YES'}
@attribute pitch13 {' NO','YES'}
@attribute pitch14 {' NO','YES'}
@attribute bass {'A','A#','Ab','B','Bb','C','C#','D','D#','Db','E','Eb','F','F#','G','G#'}
@attribute meter numeric
@attribute class {' A#d',' A#d7',' A_d',' A_m',' A_M',' A_m4',' A_M4',' A_m6',' A_M6',' A_m7',' A_M7',' Abd',' Abm',' AbM',' B_d',' B_d7',' B_m',' B_M',' B_M4',' B_m6',' B_m7',' B_M7',' Bbd',' Bbm',' BbM',' Bbm6',' BbM7',' C#d',' C#d6',' C#d7',' C#m',' C#M',' C#M4',' C#m7',' C#M7',' C_d6',' C_d7',' C_m',' C_M',' C_M4',' C_m6',' C_M6',' C_m7',' C_M7',' D#d',' D#d6',' D#d7',' D#m',' D#M',' D_d7',' D_m',' D_M',' D_M4',' D_m6',' D_M6',' D_m7',' D_M7',' Dbd',' Dbd7',' Dbm',' DbM',' Dbm7',' DbM7',' E_d',' E_m',' E_M',' E_M4',' E_m6',' E_m7',' E_M7',' Ebd',' EbM',' EbM7',' F#d',' F#d7',' F#m',' F#M',' F#M4',' F#m6',' F#m7',' F#M7',' F_d',' F_d7',' F_m',' F_M',' F_M4',' F_m6',' F_M6',' F_m7',' F_M7',' G#d',' G#d7',' G#m',' G#M',' G_d',' G_m',' G_M',' G_M4',' G_m6',' G_M6',' G_m7',' G_M7'}
@data
45,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',3,' C_M'
46,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' D_m7'
47,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',2,' G_M'
48,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
49,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
50,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M7'
51,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',1,' C_M7'
52,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES','YES',' NO','A',2,' C_M7'
53,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',1,' C_M7'
54,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
55,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO','YES','F',2,' F_M'
56,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' D_M'
57,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
58,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES','B',1,' F_M'
59,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
60,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
61,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',5,' G_M'
62,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
63,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' C_M'
64,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
65,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','G',2,' E_m'
66,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
67,' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO',' NO',' NO','YES','B',2,' G_M'
68,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',2,' G_M'
69,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
70,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M7'
71,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
72,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
73,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
74,'YES',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','C',3,' G_M7'
75,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',2,' G_M7'
76,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
77,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' D_m'
78,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',2,' G_M'
79,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
80,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',3,' G_M'
81,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',1,' G_M'
82,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','G',2,' G_M'
83,' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',1,' G_M'
84,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','G',2,' G_M7'
85,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
1,' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','A',3,' A_M'
2,' NO','YES',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',2,' A_M'
3,' NO','YES',' NO',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','A',1,' A_M'
4,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',5,' D_m'
5,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','C',2,' D_m'
6,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',3,' BbM'
7,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',2,' BbM'
8,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',1,' BbM'
9,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','C',4,' F_M'
10,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' F_M'
11,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','C',1,' F_M'
12,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',3,' C_M7'
13,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','C',1,' C_M7'
14,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M7'
15,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
16,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
17,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','F',2,' F_M'
18,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',4,' C_M'
19,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO',' NO','E',2,' C_M'
20,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
21,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','D',2,' D_m'
22,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
23,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' C_M7'
24,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
25,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
26,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',4,' G_m'
27,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' G_m'
28,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
29,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
30,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
31,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
32,'YES',' NO',' NO',' NO','YES','YES',' NO',' NO',' NO','YES',' NO',' NO','E',2,' F_M'
33,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',4,' D_m'
34,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','C',2,' D_m'
35,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',3,' BbM'
36,'YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' BbM'
37,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','C',1,' BbM'
38,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES',' NO','C',5,' C_M7'
39,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','C',2,' F_M'
40,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','C',3,' C_M7'
41,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES',' NO','C',2,' C_M7'
42,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
43,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
44,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','D',2,' D_m'
45,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',5,' F_M'
46,'YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','A',2,' F_M'
47,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',3,' BbM'
48,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',4,' C_M7'
49,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','A',2,' C_M7'
50,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','G',3,' F_M'
51,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
52,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','F',1,' F_M'
53,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M4'
54,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M4'
55,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','C',1,' C_M4'
56,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',3,' C_M7'
57,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M7'
58,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
59,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','B',3,' G_M'
60,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',2,' G_M'
61,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
62,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','Bb',3,' F_M'
63,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',2,' F_M'
64,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','G',4,' G_m7'
65,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' G_m7'
66,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',1,' G_m7'
67,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES',' NO','C',3,' C_M7'
68,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO',' NO','C',1,' C_M7'
69,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
70,'YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',3,' C_d6'
71,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','F',4,' G_M7'
72,'YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','Eb',3,' C_m'
73,'YES',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','F',2,' C_m'
74,'YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',1,' C_m'
75,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','Ab',5,' F_m6'
76,' NO',' NO','YES',' NO',' NO','YES',' NO','YES','YES',' NO',' NO',' NO','G',2,' F_m6'
77,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','F',1,' F_m6'
78,'YES',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',3,' G_M'
79,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','G',2,' G_M'
80,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO',' NO','C',4,' C_M'
81,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
82,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' C_M'
83,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',5,' F_M'
84,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','G',2,' F_M'
85,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M7'
86,'YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','Eb',2,' F_M7'
87,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','D',4,' BbM'
88,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','C',2,' BbM'
89,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',3,' F_M4'
90,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',2,' F_M4'
91,'YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',1,' F_M4'
92,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
93,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',3,' C_M7'
94,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M7'
95,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','E',2,' F_M7'
96,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
97,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','C',2,' D_m'
98,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',5,' G_M7'
99,' NO',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',2,' G_M7'
100,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','C',3,' C_M7'
101,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M7'
102,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
1,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
2,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
3,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
4,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','B',3,' G_M'
5,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','A',5,' A_m'
6,'YES',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','A',2,' A_m'
7,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
8,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','D',4,' D_M'
9,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',2,' D_M'
10,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
11,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',5,' C_M'
12,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' G_M'
13,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES','D',2,' G_M'
14,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
15,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
16,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','B',3,' G_M'
17,' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','B',2,' G_M'
18,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',1,' G_M'
19,'YES',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
20,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
21,'YES',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',3,' G_M'
22,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',2,' G_M'
23,'YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',1,' G_M'
24,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
25,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
26,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
27,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
28,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','B',3,' G_M'
29,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','A',5,' A_m'
30,'YES',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','A',2,' A_m'
31,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
32,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','D',4,' D_M'
33,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',2,' D_M'
34,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
35,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',5,' C_M'
36,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
37,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES','D',2,' D_m'
38,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
39,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
40,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','B',3,' G_M'
41,' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','B',2,' G_M'
42,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',1,' G_M'
43,'YES',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
44,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
45,'YES',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','G',3,' G_M'
46,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',2,' G_M'
47,'YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',1,' G_M'
48,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
49,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
50,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
51,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','A',2,' F_M'
52,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',1,' F_M'
53,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','E',4,' C_M7'
54,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
55,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
56,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C#',5,' A_M7'
57,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','C#',2,' A_M7'
58,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
59,' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO','YES','D',2,' D_m'
60,' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES','D',1,' D_m'
61,' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','A',4,' A_M'
62,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',5,' C_M'
63,' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' C_M'
64,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
65,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
66,'YES',' NO',' NO',' NO','YES','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
67,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
68,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',5,' F_M'
69,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO','YES','B',2,' F_M'
70,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
71,'YES',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO',' NO','C',2,' C_M'
72,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',4,' G_M'
73,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M'
74,'YES',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
75,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
76,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','C',2,' C_M'
77,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',4,' D_m'
78,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO','YES','D',2,' D_m'
79,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',3,' C_M'
80,'YES',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' C_M'
81,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
82,'YES',' NO',' NO',' NO','YES','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
83,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',3,' D_M'
